"second","first","ccf","rough_cor","lag","D","sd_D","b1","b2","signature_length","overlap","matches","mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sum_peaks","H.H","D2.D","comparison","id.x","id.y","KM","rfscore","order","type"
"Unknown 1-Q/L2.dat","Gun 1-P7/B1/L3.dat",0.317110138019482,0.233077594356537,0.112874999999997,0.000707078750249505,0.00121948681985725,"Gun 1-P7/B1/L3.dat","Unknown 1-Q/L2.dat",1.921455,0.960053709298422,5.96302921884317,15.2046869673762,1.62628069604814,0.542093565349379,5.39521150455283,0,0,1.4714213194235,1.4714213194235,4.87387516060656,2.1752009776838,0.000707078750249505,"Gun 1-P7/B1/L3.dat|Unknown 1-Q/L2.dat",20,NA,FALSE,0.52,1,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-P7/B3/L4.dat",0.160954082078614,-0.11965526487319,-0.00386999999999989,0.00105386916192794,0.0015320015098455,"Gun 1-P7/B3/L4.dat","Unknown 1-Q/L2.dat",1.944675,0.995356550580431,4.13298926197727,11.1721346648487,2.06649463098864,1.03324731549432,6.60171593831966,0,0,0.507824302947666,0.507824302947666,3.43480805379674,2.91049375387577,0.00105386916192794,"Gun 1-P7/B3/L4.dat|Unknown 1-Q/L2.dat",22,NA,FALSE,0.0933333333333333,64,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-R3/B3/L4.dat",0.332383027681197,0.0702117375815052,0.14447999999999,0.000874926068895818,0.00142410194459533,"Gun 1-R3/B3/L4.dat","Unknown 1-Q/L2.dat",1.952415,0.927651139742319,4.96919101570264,15.2278708105511,2.76066167539036,1.10426467015614,5.23458059112694,0,0,3.80696770263777,3.80696770263777,4.51497346527846,2.70170783874496,0.000874926068895818,"Gun 1-R3/B3/L4.dat|Unknown 1-Q/L2.dat",39,NA,FALSE,0.09,66.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-P7/B1/L4.dat",0.123279178881641,-0.129410351357091,0.0296699999999992,0.00103978722693449,0.00149117590010433,"Gun 1-P7/B1/L4.dat","Unknown 1-Q/L2.dat",1.890495,0.99727055612419,6.36491657981207,14.755904269799,1.06081942996868,0.53040971498434,3.56176999615838,0,0,0.508824285165482,1.52647285549645,4.23214781654539,2.83942758741465,0.00103978722693449,"Gun 1-P7/B1/L4.dat|Unknown 1-Q/L2.dat",21,NA,FALSE,0.103333333333333,54.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-P7/B2/L6.dat",0.167806225035812,0.00654233077741513,0.130934999999996,0.000891091182645444,0.00140830700027297,"Gun 1-P7/B2/L6.dat","Unknown 1-Q/L2.dat",1.91565,0.94983164983165,2.19835178574863,15.5281386856887,1.09917589287432,0.549587946437159,5.33779767320548,0,0,5.33779767320548,0.970508667855541,1.29600449277191,2.82423196778799,0.000891091182645444,"Gun 1-P7/B2/L6.dat|Unknown 1-Q/L2.dat",23,NA,FALSE,0.0166666666666667,136,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-P7/B2/L4.dat",0.16510054004631,-0.0581284485528752,0.0180599999999987,0.00105307759645625,0.00153803969257496,"Gun 1-P7/B2/L4.dat","Unknown 1-Q/L2.dat",1.91049,0.99729912221472,5.24843465436434,14.755904269799,1.04968693087287,0.524843465436434,4.57941856648934,0,0,0.508824285165482,2.03529714066193,5.32775332138424,2.85173307244355,0.00105307759645625,"Gun 1-P7/B2/L4.dat|Unknown 1-Q/L2.dat",21,NA,FALSE,0.09,66.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-L5/B3/L5.dat",0.157490581412866,-0.0805144973694036,-0.0612749999999983,0.00103768699801956,0.00152003913887706,"Gun 1-L5/B3/L5.dat","Unknown 1-Q/L2.dat",1.939515,0.965746591286997,4.80492023832404,14.8031915681021,1.0677600529609,0.533880026480449,3.45407803255716,0,0,3.45407803255716,1.48031915681021,5.73613123951715,3.06366340523802,0.00103768699801956,"Gun 1-L5/B3/L5.dat|Unknown 1-Q/L2.dat",35,NA,FALSE,0.0966666666666667,60,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B3/L1.dat",0.348238074191422,0.167298561548004,0.189629999999995,0.00084959994131834,0.00140637198549938,"Gun 1-U10/B3/L1.dat","Unknown 1-Q/L2.dat",1.864695,0.947077135939121,1.69874462772011,17.9712848011502,0.566248209240038,0.566248209240038,6.31423520040413,0,0,3.88568320024869,3.39997280021761,2.94215815572807,2.55582746387147,0.00084959994131834,"Gun 1-U10/B3/L1.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.103333333333333,54.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-P7/B1/L6.dat",0.208376511867709,0.145985446229476,0.114809999999977,0.000834851298529138,0.00137725053965668,"Gun 1-P7/B1/L6.dat","Unknown 1-Q/L2.dat",1.93371,0.952301534356238,3.80130058784398,16.5660522610227,1.08608588224114,0.543042941120569,4.38513148085895,0,0,1.46171049361965,0.9744736624131,3.33036064850571,2.59430063912814,0.000834851298529138,"Gun 1-P7/B1/L6.dat|Unknown 1-Q/L2.dat",23,NA,FALSE,0.03,122.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-M2/B1/L6.dat",0.184168141725888,-0.106364260794957,0.190274999999995,0.000886808204372609,0.0015018485437992,"Gun 1-M2/B1/L6.dat","Unknown 1-Q/L2.dat",1.931775,0.914190317195326,9.05997134784061,14.0221971380696,2.83124104620019,1.69874462772011,5.60887885522784,0,0,3.27184599888291,5.60887885522784,8.83066324552673,2.96726497734348,0.000886808204372609,"Gun 1-M2/B1/L6.dat|Unknown 1-Q/L2.dat",7,NA,FALSE,0.176666666666667,33.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-L5/B1/L2.dat",0.165802975228036,-0.00933892262504658,0.00193499999999995,0.000854181143504063,0.00130347758423864,"Gun 1-L5/B1/L2.dat","Unknown 1-Q/L2.dat",1.95306,0.997357992073976,3.59361363519688,14.2470799846335,1.02674675291339,0.513373376456697,5.08824285165482,0,0,1.52647285549645,1.52647285549645,3.21726328594967,2.79976112195293,0.000854181143504063,"Gun 1-L5/B1/L2.dat|Unknown 1-Q/L2.dat",32,NA,FALSE,0.0533333333333333,100.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-M2/B3/L2.dat",0.260754389280406,0.000173931164609772,-0.149639999999996,0.000871279436091702,0.00135217880138465,"Gun 1-M2/B3/L2.dat","Unknown 1-Q/L2.dat",1.86663,0.917069799585349,2.33668062833342,19.8585785513167,1.16834031416671,0.584170157083355,10.8749358733401,0,0,1.8912931953635,10.8749358733401,1.4224822601277,2.52294650428113,0.000871279436091702,"Gun 1-M2/B3/L2.dat|Unknown 1-Q/L2.dat",12,NA,FALSE,0.0166666666666667,136,"KNM"
